"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,215309,"Open Water",0,0,255,0,0,1,47884,1.8
"2",12,4437,"Snow/Ice",159,161,240,0.623529,0.631373,0.941176,987,0
"3",13,1780,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,396,0
"4",14,14135,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,3144,0.1
"5",15,255,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,57,0
"6",16,267,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,59,0
"7",17,5435,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,1209,0
"8",22,2557,"Developed-Low Intensity",255,122,143,1,0.478431,0.560784,569,0
"9",23,684,"Developed-Medium Intensity",253,44,79,0.992157,0.172549,0.309804,152,0
"10",24,99,"Developed-High Intensity",173,0,28,0.678431,0,0.109804,22,0
"11",25,23532,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,5233,0.2
"12",31,225850,"Barren",191,191,191,0.74902,0.74902,0.74902,50228,1.9
"13",63,110,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,24,0
"14",64,47,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,10,0
"15",65,1471,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,327,0
"16",68,299,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,66,0
"17",82,7,"Cultivated Crops",255,255,120,1,1,0.470588,2,0
"18",100,178706,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,39743,1.5
"19",110,91805,"Tree Cover = 10%",204,255,153,0.8,1,0.6,20417,0.8
"20",111,18613,"Tree Cover = 11%",202,252,151,0.792157,0.988235,0.592157,4139,0.2
"21",112,19349,"Tree Cover = 12%",199,250,147,0.780392,0.980392,0.576471,4303,0.2
"22",113,21216,"Tree Cover = 13%",194,247,143,0.760784,0.968627,0.560784,4718,0.2
"23",114,23790,"Tree Cover = 14%",192,245,142,0.752941,0.960784,0.556863,5291,0.2
"24",115,73590,"Tree Cover = 15%",188,242,138,0.737255,0.94902,0.541176,16366,0.6
"25",116,31282,"Tree Cover = 16%",183,240,134,0.717647,0.941176,0.52549,6957,0.3
"26",117,36087,"Tree Cover = 17%",181,237,133,0.709804,0.929412,0.521569,8026,0.3
"27",118,40969,"Tree Cover = 18%",178,235,129,0.698039,0.921569,0.505882,9111,0.3
"28",119,47049,"Tree Cover = 19%",173,232,125,0.678431,0.909804,0.490196,10463,0.4
"29",120,53780,"Tree Cover = 20%",173,232,125,0.678431,0.909804,0.490196,11960,0.4
"30",121,61490,"Tree Cover = 21%",170,230,122,0.666667,0.901961,0.478431,13675,0.5
"31",122,68790,"Tree Cover = 22%",165,227,118,0.647059,0.890196,0.462745,15299,0.6
"32",123,77202,"Tree Cover = 23%",163,224,117,0.639216,0.878431,0.458824,17169,0.6
"33",124,84827,"Tree Cover = 24%",160,222,113,0.627451,0.870588,0.443137,18865,0.7
"34",125,220489,"Tree Cover = 25%",155,219,110,0.607843,0.858824,0.431373,49036,1.8
