"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,215309,"Open Water",0,0,255,0,0,1,47884,1.8
"2",12,4437,"Snow/Ice",159,161,240,0.623529,0.631373,0.941176,987,0
"3",13,1780,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,396,0
"4",14,14135,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,3144,0.1
"5",15,255,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,57,0
"6",16,267,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,59,0
"7",17,5435,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,1209,0
"8",22,2557,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,569,0
"9",23,684,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,152,0
"10",24,99,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,22,0
"11",25,23532,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,5233,0.2
"12",31,225850,"Barren",191,191,191,0.74902,0.74902,0.74902,50228,1.9
"13",63,110,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,24,0
"14",64,47,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,10,0
"15",65,1471,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,327,0
"16",68,299,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,66,0
"17",82,7,"Cultivated Crops",255,255,120,1,1,0.470588,2,0
"18",100,178706,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,39743,1.5
"19",101,34,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,8,0
"20",102,279,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,62,0
"21",103,1983,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,441,0
"22",104,3734,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,830,0
"23",105,8543,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,1900,0.1
"24",106,15978,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,3553,0.1
"25",107,25254,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,5616,0.2
"26",108,53687,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,11940,0.4
"27",109,56951,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,12666,0.5
"28",110,88602,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,19705,0.7
"29",111,132181,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,29396,1.1
"30",112,204024,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,45374,1.7
"31",113,291822,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,64900,2.4
"32",114,419253,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,93240,3.5
"33",115,558441,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,124194,4.7
"34",116,748913,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,166554,6.3
